entG,Class
11.30218656,1
11.24231018,1
11.22801316,1
11.26080628,1
11.09426447,1
11.13452169,1
11.16883585,1
11.09626519,1
11.16261192,1
11.2229644,1
11.22861121,1
11.22452136,1
11.27925304,1
11.12765039,1
11.38499488,1
11.27651029,1
10.98503147,1
11.08803375,1
11.18504361,1
11.18792326,1
11.28905474,1
11.34147032,1
11.3654717,1
11.20095805,1
11.41709858,1
11.36535575,1
11.36247366,1
11.31946781,1
11.46920662,1
11.29541209,1
11.30757943,1
11.43691585,1
11.41890932,1
11.24934323,1
11.22177496,1
11.17264023,1
11.3648047,1
11.23096275,1
11.22163693,1
11.25196926,1
11.3209289,1
11.29045106,1
11.34051261,1
11.27994675,1
11.37789756,1
11.27794243,1
11.35448714,1
11.15952265,1
11.31323184,1
11.26805028,1
11.10420158,1
11.17996111,1
11.06074148,1
11.09243356,1
11.24581354,1
11.32790722,1
11.31109383,1
11.16545791,1
11.25515899,1
11.10163632,1
11.1720755,1
11.19694152,1
11.15802668,1
11.13571101,1
11.02681503,1
11.05611303,1
11.20083444,1
11.22776489,1
11.11886371,1
11.38716921,1
11.28099405,1
11.14174776,1
11.13838371,1
11.28508068,1
11.21253744,1
11.18736003,1
11.1429279,1
11.22190162,1
11.22781748,1
11.17794413,1
11.22961902,1
11.18932901,1
11.18214613,1
11.19581041,1
11.26259101,1
11.2019274,1
11.23532997,1
11.20577203,1
11.13492066,1
11.15602601,1
11.08119004,1
11.05152845,1
11.1452684,1
11.07670117,1
11.06787312,1
11.20666946,1
11.18891018,1
11.26571732,1
11.15717429,1
11.1654864,1
11.1077278,1
11.23895883,1
11.15807188,1
11.21792044,1
11.1564963,1
11.4155532,1
11.23624099,1
11.30363419,1
11.1771216,1
11.30252211,1
11.36696328,1
11.2562318,1
11.24054745,1
11.29198223,1
11.27092513,1
11.22017413,1
11.29694462,1
11.29610177,1
11.22589245,1
11.21026444,1
11.20470737,1
11.32016296,1
11.23725213,1
10.99737329,1
11.11043985,1
11.14612644,1
11.19664457,1
11.14938128,1
11.35408276,1
11.02490213,1
11.1728412,1
11.22004819,1
11.23962446,1
11.17039109,1
11.10731623,1
11.2132241,1
11.19493575,1
11.27095222,1
11.23950824,1
11.21231762,1
11.10890878,1
11.13568007,1
11.23928176,1
11.37281046,1
11.07807392,1
11.15129539,1
11.22904803,1
11.1287948,1
11.33845463,1
11.12180959,1
11.32686158,1
11.21667902,1
11.3302046,1
11.11142491,1
11.14524815,1
11.16307385,1
11.27364093,1
11.21860051,1
11.224938,1
11.19663472,1
11.33781596,1
11.36653259,1
11.38741001,1
11.38802842,1
11.29981572,1
11.23479851,1
11.28214758,1
11.14924433,1
11.29621821,1
11.35230977,1
11.24346667,1
11.23056034,1
11.36226977,1
11.37953518,1
11.31467485,1
11.20753848,1
11.26276103,1
11.2125469,1
11.2319602,1
11.17617063,1
11.14717146,1
11.20577656,1
11.20831988,1
11.19277955,1
11.29129358,1
11.2426673,1
11.36705816,1
11.36558424,1
11.31515492,1
11.16916309,1
11.2219882,1
11.16111677,1
11.22064945,1
11.19808839,1
11.20482966,1
11.2715374,1
11.24484879,1
11.20692523,1
11.24403495,1
11.35452342,1
11.2910399,1
11.22822382,1
11.16236473,1
11.12395097,1
11.18641878,1
11.15547173,1
11.2295919,1
11.32378804,1
11.2464979,1
11.23075343,1
11.19341892,1
11.19923019,1
11.19641469,1
11.06725961,1
11.20016874,1
11.16691846,1
10.91848504,1
11.03886982,1
11.02815715,1
11.18989294,1
11.06413379,1
11.09070105,1
11.21771308,1
11.18239124,1
11.12704287,1
11.15737118,1
11.15411943,1
11.03483774,1
11.16852353,1
11.0715985,1
11.24598683,1
11.15296026,1
11.2425741,1
11.20569262,1
11.33413006,1
11.26567475,1
11.00356348,1
11.02055206,1
11.08201223,1
11.01136836,1
11.11877027,1
11.12456904,1
11.07916511,1
11.0647796,1
10.82700045,1
11.10641486,1
11.17204194,1
10.91807414,1
10.88111893,1
10.86638428,1
10.98586158,1
10.93003824,1
11.06459415,1
11.06233719,1
11.18771417,1
11.19536498,1
11.13466205,1
11.22309093,1
11.18179073,1
11.22766937,1
11.21557826,1
11.12441622,1
11.38913482,1
11.21132885,1
11.11240649,1
11.1905587,1
11.14780862,1
11.29153066,1
11.36489845,1
11.27685209,1
11.35409365,1
11.2620027,1
11.19116495,1
11.37241958,1
11.28267655,1
11.24304021,1
11.11820973,1
11.10362416,1
11.0780455,1
11.25772982,1
11.26388351,1
11.18933584,1
11.23890728,1
11.16413669,1
11.28094898,1
11.12401208,1
11.21398293,1
11.26375677,1
11.30301815,1
11.34557828,1
11.11870046,1
11.13034392,1
11.16869355,1
11.19932577,1
11.34251309,1
11.20042604,1
11.33953279,1
11.22297843,1
11.26090133,1
11.14643269,1
11.186517,1
11.11862293,1
11.01808374,1
11.18994486,1
11.1559411,1
11.21784643,1
11.2202581,1
11.17236925,1
11.41702901,1
11.15390791,1
11.04530575,1
11.05231406,1
11.15034303,1
11.16966193,1
11.0896427,1
11.17448601,1
11.18673446,1
11.10034027,1
11.21422982,1
11.23012808,1
11.26042275,1
11.22592351,1
11.20639816,1
11.13142996,1
11.18838394,1
11.15587217,1
11.20334564,1
11.26336735,1
11.22489412,1
10.98537775,1
11.17092616,1
11.07067581,1
11.14652481,1
11.09178085,1
11.16145132,1
11.10754755,1
11.1411518,1
11.07347328,1
11.15766715,1
11.15304532,1
11.12697101,1
11.15415121,1
11.27346495,1
10.82818659,1
10.90390905,1
11.0051643,1
11.02852442,1
11.04760829,1
11.04505217,1
11.01060935,1
11.29859507,1
11.49751152,1
11.37916997,1
11.36050547,1
11.36998314,1
11.3769134,1
11.34064229,1
11.4319106,1
11.31629623,1
11.28812897,1
11.37292867,1
11.26881144,1
11.34067147,1
11.33588636,1
11.40812933,1
11.4220891,1
11.41349875,1
11.23679764,1
11.32504986,1
11.3925083,1
11.30399015,1
11.39958382,1
11.37008726,1
11.37664974,1
11.3023004,1
11.24468051,1
11.14908539,1
11.26328427,1
11.29346055,1
11.28523642,1
11.37208216,1
11.4146216,1
11.36267658,1
11.41877721,1
11.38855965,1
11.21948975,1
11.18491202,1
11.26732874,1
11.21278012,1
11.32519466,1
11.18424445,1
11.44974379,1
11.48738296,1
11.23224843,1
11.16699459,1
11.11278288,1
11.36034789,1
11.15631307,1
11.27793138,1
11.44371203,1
11.40101105,1
11.39261846,1
11.40654668,1
11.42735781,1
11.39046052,1
11.26096663,1
11.37808423,1
11.25188586,1
11.32540878,1
11.22674934,1
11.2791195,1
11.20318189,1
11.09249414,1
11.11247933,1
11.24205073,1
11.19212018,1
11.35103821,1
11.24614249,1
11.30668893,1
11.2423175,1
11.26863661,1
11.28199368,1
11.28649961,1
11.21022288,1
11.14007551,1
11.20713129,1
11.18056739,1
11.42605672,1
11.05096187,1
11.00897581,1
11.32264025,1
11.18007305,1
11.26690246,1
11.22068151,1
11.41186939,1
11.35223896,1
11.30926491,1
11.29538219,1
11.38740388,1
11.42731899,1
11.34411275,1
11.29021297,1
11.30941448,1
11.21009099,1
11.24965007,1
11.2240305,1
11.18220256,1
11.21176152,1
11.38253073,2
11.24446564,2
11.20815168,2
11.13598,2
11.1657107,2
11.14448874,2
11.09440676,2
11.1661471,2
11.21585822,2
11.1491392,2
11.13137151,2
11.09792331,2
11.18177118,2
11.13365238,2
11.19807945,2
11.27613764,2
11.17975355,2
11.19701347,2
11.22184113,2
11.26901458,2
11.25835906,2
11.33794615,2
11.251434,2
11.41346043,2
11.38391664,2
11.34594643,2
11.51196316,2
11.5260322,2
11.40889316,2
11.35948749,2
11.27386897,2
11.21396866,2
11.17628585,2
11.22076795,2
11.24683157,2
11.48674108,2
11.18190871,2
11.1464479,2
11.27182288,2
11.26579109,2
11.28252928,2
11.42527547,2
11.39340367,2
11.30644534,2
11.3679105,2
11.42922841,2
11.55698515,2
11.32101198,2
11.48061383,2
11.32999552,2
11.27271097,2
11.34194521,2
11.34308165,2
11.38129254,2
11.37774995,2
11.33094593,2
11.34682487,2
11.49402661,2
11.35866171,2
11.33099462,2
11.35529304,2
11.25492977,2
11.18239176,2
11.22724619,2
11.23638703,2
11.31364673,2
11.19697329,2
11.20843396,2
11.50990103,2
11.24915706,2
11.24216226,2
11.26201099,2
11.231625,2
11.24094896,2
11.28664549,2
11.44372959,2
11.43104684,2
11.17350351,2
11.29176332,2
11.2688468,2
11.3488348,2
11.20882874,2
11.10438327,2
11.09028497,2
11.01256981,2
11.21548557,2
11.2202596,2
11.24100089,2
11.2166432,2
